,Unnamed: 0,id,song_title,artist,mp3,genre,votes,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
301,256,1td2pREd1o0sszXsqK86sh,Damaged Goods,Flatland Cavalry,https://p.scdn.co/mp3-preview/ac7c08964dc8fa73e9d4c467d0ccd9b0b74cf8e1?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.619,0.523,5,-9.249,1,0.0327,0.507,5.26e-05,0.121,0.635,75.125,207307,4
302,257,6CD44bVQE5bcTE5QUo4rSU,Alright Ok,Gabe Lee,https://p.scdn.co/mp3-preview/683f4796c7715b0d960ea672db9d5273af54ef87?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.624,0.421,11,-5.463,1,0.0258,0.604,0.0,0.1,0.316,132.393,286853,4
303,258,1tPAhtdVRtRexRdH9QXOSP,Damn Good Goodbye,Mike Ryan,https://p.scdn.co/mp3-preview/a6bb92acd10bf6ff231c51dd7f12dc1818d198c1?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.565,0.514,4,-6.379,1,0.0284,0.268,1.08e-05,0.104,0.289,141.974,212819,4
304,259,2phdhdIaCUVJgxuRVP2N18,Angel Band - Jubilee Version,Tyler Childers,https://p.scdn.co/mp3-preview/33b014f2a65b23152cb28e695bc52767c546fb3e?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.388,0.453,2,-5.643,1,0.0253,0.323,0.000427,0.217,0.294,138.115,372160,4
305,260,5MkOctZG8LI9uHzpY7ncWj,On the Other Hand,Randy Travis,https://p.scdn.co/mp3-preview/e7883f14b2a3d28530e1108c26f7f4f8c53af302?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.657,0.415,5,-9.915,1,0.025,0.175,5.65e-06,0.132,0.347,96.03,186347,4
306,261,5MF7WqDx40eGewUkrPiigs,Little Miss Saturday Night,Drew Parker,https://p.scdn.co/mp3-preview/206a159e2af690fdf8738e041e1beb330fda9577?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.542,0.86,2,-5.207,1,0.0333,0.0638,0.0,0.155,0.741,165.89,200439,4
307,262,2qLXShzDzzrMhSoJI9oX51,A Tornado Warning,Turnpike Troubadours,https://p.scdn.co/mp3-preview/f5f9f98480c24635fe56f7b301941636a4471744?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.478,0.833,0,-5.194,1,0.0355,0.00253,6.27e-05,0.0567,0.507,141.976,223366,4
308,263,2qRGnY4zSNBu4tTql3pEnX,Bossier City,Turnpike Troubadours,https://p.scdn.co/mp3-preview/931d350af0482adf06addf5e1b0aa1ae2198cac8?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.284,0.9,7,-2.9,1,0.0687,0.192,0.00172,0.207,0.712,176.738,198427,4
309,264,1qHRFZE8qykNXYZadzmi1m,Give It Away,George Strait,https://p.scdn.co/mp3-preview/ba108cebc378595a286b1cb3ede3a29ec5dadd0c?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.674,0.646,5,-5.876,1,0.027,0.486,8.37e-05,0.262,0.613,148.1,209320,4
310,265,1q0wCfrE9eGFMzS2g8aVnx,He Stopped Loving Her Today,George Jones,https://p.scdn.co/mp3-preview/d4d15fb90580faab8d96e22354d35259c304aecc?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.351,0.21,8,-14.838,1,0.0334,0.76,0.000138,0.29,0.394,144.25,195760,4
